STT,Content
Item: 48,Item have no standard
Item: 55,Item have no standard
Item: 80,Item have no standard
Item: 88,Item have no standard
Item: 98,Item have no standard
Item: 100,Item have no standard
Item: 105,Item have no standard
Item: 107,Item have no standard
Item: 110,Item have no standard
Item: 114,Item have no standard
Item: 128,Item have no standard
Item: 132,Item have no standard
Item: 139,Item have no standard
Item: 145,Item have no standard
Item: 151,Item have no standard
Item: 159,Item have no standard
Item: 162,Item have no standard
Item: 170,Item have no standard
Item: 189,Item have no standard
Item: 196,Item have no standard
Item: 199,Item have no standard
Item: 200,Item have no standard
Item: 209,Item have no standard
Item: 6,Item have no standard
Item: 12,Item have no standard
Item: 14,Item have no standard
Item: 29,Item have no standard
Item: 31,Item have no standard
Item: 34,Item have no standard
Item: 40,Item have no standard
