,Review,mua_sam
0,"Chừ mới để ý là bên tré bà đệ có 2 cơ sở cũng bên hải phòng mà gần nhau á. lâu nay chả để ý mô.
Phần này là khách hàng tặng cho công ty mình nên mình chụp review nha, thấy để 77 hải phòng nên chắc mua bên này rồi á. 
bên mình được tặng 1 phần tré và 1 cây chả bò, không biết giá cả bao nhiêu nữa, tưởng chỉ bán tré ai dè có chả bò luôn. đòn chả nhìn khá to, chắc tay, chắc cũng nặng 1kg ha.
tré thì ăn ngon, bỏ trong hộp sạch sẽ
chả bò khá thơm đó, ăn vs bánh chuẩn, dưa hành là chuẩn rồi, vị tết là đây chứ đâu",4
1,"Hôm nay mình đến Tré Bà Đệ ( Cửa hàng màu trắng, số 77 Hải Phòng) và mua tương ớt về làm quà, mình nói về việc sẽ mua trước một hủ để thử tại chỗ xem mùi vị thế nào rồi sẽ mua thêm hay không, bà chủ trả lời: “Tự ra chợ mua ớt về mà làm rồi thử cho vừa”, sau đó quay ngoắt đi vào trong không tiếp bọn mình nữa. Thực sự không hiểu mình đã nói gì sai để mất lòng bà.
+ Vị trí rất dễ tìm, mình đi từ Ngô Gia Tự về hướng đường Hải Phòng, rẽ trái vài chục mét là thấy bên tay trái.
+ Thấy được người ngồi gói tré bên trong, nhìn sạch sẽ.
- Cách trả lời và tiếp khách thực sự gây sốc, từ ngày đến Đà Nẵng đến ngày về cảm nhận người Đà Nẵng rất dễ thương, đây là lần duy nhất mình gặp cách cư xử như vậy từ người địa phương.
Cảm ơn.",1
2,"Đi xa về Đà nẵng ghé mua 1 hộp ăn thử trước xem có ngon như người ta nói không, ngon thì tính mua thêm để tặng đồng nghiệp. Tới tiệm gặp ngay ông chú bán hàng mà chảnh chọe bắt khách đứng chờ vì mua có 1 hộp, trong khi mấy khách tới sau mua nhiều hộp hơn thì bán trước. Thái độ phục vụ vô cùng tệ. 1 sao",0
3,"Tự nhiên hôm nay thèm ăn tré quá nên order về ăn thôi. Mình thích ăn tré bên này, khá là ngon và hợp vệ sinh nữa, giá thì hơi cao nhưng bù lại chất lượng tốt, hihi. Mình đặt qua deliverynow được giảm giá nên giá cũng rẻ đi đôi chút, đõ được phần nào í ạ. Bình thường mình cũng không thích ăn món này lắm, vì nó khá là cay, nhưng mình thấy tré ở đây ngon, dễ ăn hơn nhiều nên hay đặt ở đây về ăn lắm. Tré ngon, gia vị vừa ăn, mùi thơm hấp dẫn.",4
4,"Tré ở đây thì cũng có tiếng quá rồi. Hôm bữa có ghé lại mua để làm quà cho bà con.
Giá thì 80k/1 chục, muốn để lâu thì mua tré làm trong ngày còn ăn liền thì cũng có.
Tré có nhiều loại trong xâu hoặc trong hủ, về trộn tí đậu phộng với tương ớt nữa ăn thì khỏi chê luôn.
Có dịp khác thì tất nhiên sẽ ghé lại ủng hộ.",4
5,"Đặc sản tré k còn xa lạ với người dân nơi đây nữa. Vị chua chua, sần sật lạ miệng. Khách du lịch mua về làm qua nhiều lắm. Tré có nhiều loại khác nhau được bao bọc sạch sẽ, cẩn thận. 
Giá cũng rất dễ mua nhé.
Ở đây còn có cả tương ớt, nem chua, chả giò các kiểu. 
Mỗi lần có dịp mua về làm qua là đặt mang đi tặng cũng rất lịch sự.
Nếu đặt nhiều phải đặt trước để quán chuẩn bị, k là phải chờ hẹn thời gian lại.",4
6,"🎏 World Food - 253***Nghe đâu bò được nhập khẩu đảm bảo chất lượng và được đem chế biến đa dạng theo phong cách Á - u luôn nha. Không gian lại thoáng đãng nữa kết hợp lại rất phù hợp với mọi cuộc gặp gỡ, từ hẹn hò đến hội bạn thân hay tổ chức tiệc tùng các thứ!
À mà không chỉ có lẩu nướng bò không, quán còn nhiều món ngon cho các bạn lựa chọn lắm. Bò một nắng Gia Lai chấm muối kiến vàng, cá mút đá nướng mọi/ um chuối, Khô cá lóc Miền tây, Gà vườn. Rồi các món nhập khẩu: Sò điệp Nhật/Vẹm Newzeland nướng mỡ hành, cá nục Nhật hấp… đủ loại đủ mọi miền đất nước luôn.
Nếu đến quán vào buổi sáng bạn sẽ được phục vụ bò kho, bò né, bò bít tết Úc cực kì rẻ",4
7,"Mùa này đi làm về là trời đã tối mù rồi. Ra chợ cũng chẳng còn thịt cá gì tươi ngon. Được chị bạn trong công ty giới thiệu cho cửa hàng bán thịt bò nhập khẩu nên cũng ham hố tìm hiểu.
Thấy đang giảm giá 15% khi đặt giao hàng qua deli nữa vậy là quyết định order lấy vài món về làm cơm luôn.
Mình đặt bò Úc cuộn lá lốt và nạc cổ bò Úc.
Bất ngờ với xiên bò cuốn lá lốt 18k được 5 cuộn. Hợp lý quá ưa. Thịt được ướp gia vị sẵn, khá đậm đà.
Thấy có loại như vậy mà nướng sẵn nữa.
Lâu lâu cả nhà được bữa ăn sang chảnh mà hợp túi tiền ghê.",4
8,"Mình chở mẹ đi mua thịt bò úc, nghe bảo shop này mới mở đang giảm 10% cho các loại thịt. Thịt ở đây nhìn màu tươi, thịt cũng chất lượng. Mình mua thịt nạc về làm bò lúc lắc, ở đây có sẵn đồ rau củ mua kèm, mình mua thêm mấy trái ớt đà lạt về làm cho đủ món
Món ăn ra ăn mình thấy bò mềm
Giá ở đây cũng phải chăng",4
9,"Mình đi vs vợ mua bò ở đây. Shop mới mở thôi. Đnag giảm 10%. Bò ở đây nhiều loại. Bán thịt bò cùng với mấy món làm cùng với bò nữa. Tuy chưa nhiều nhưng cũng đầy đủ cho một món ăn. Mình mua về làm sườn bò sốt tiêu. Món ăn ra đepj mắt, vị cũng ổn. Thịt bò mềm
Giá cả phải chăng",4
10,"Chỗ này cũng mới mở, hôm qua chở mẹ qua mua thì thấy ngoài thịt bò ÚC ra thì chỗ này còn bán cả rau củ quả nữa, thấy cũng tươi nhưng mà không nhiều.
Thịt bò tưởng đắt lắm nhưng mà thấy giá thì cũng rẻ bất ngờ, nói thật thấy rẻ còn hơn mình ra chợ mua. Thấy giá khoảng 50k là có cục thịt đem về bỏ tủ nấu canh dần dần rồi.
Hôm bữa mua về nấu cari và xào với ớt chuông ăn cũng ngon lắm.",4
11,"Mình khá thích ăn thịt bò nhưng tìm k ra chỗ bò chất lượng để mua. Tình cớ lướt fb thấy bên này bán các loại thịt bò. Quán mở chi nhánh mới tại Đà Nẵng. Có nhiều loại thịt, quán đang khai trương giảm giá 10% tới ngày 30/9
Mình mua một phần thăn nạc về xào cải bắp xanh đu đủ. Thịt bò ngon mềm
Giá cả cũng khá phải chăng. 
Không gian nhỏ, nhân viên tư vấn nhiệt tình",4
12,"Vịt nguội tanh.
Rau đồ thiếu
Vị vịt bình thường.
Tôi sẽ ko mua lại.",2
13,"Nhà mình chỉ ăn vịt ở đây và cũng đã ăn từ khi quán ở đường yên bái. Vịt được gia đình người quảng làm nên vị đậm đà, ngon và rất thơm. Thịt vịt vừa mềm ngon mà không nhiều mỡ, da dai dai, lúc nào mua về cũng ấm nóng. Nước chấm là nước từ con vịt kho quay, cộng thêm dưa leo, rau thơm là sẵn sàng cho dĩa vịt hấp dẫn
Nhà mình cũng thử vài quán nhưng vẫn chưa tìm được nơi nào thay thế. Bảng giá chụp cũng lâu rồi nhưng chữ bổn tiệm thấy hay hay lại đăng lên cho mn biết",4
14,Vừa phát hiện quán vịt quay hao hao như quán cơm chợ lớn. Vào ăn thì phát hiện đầu bếp là người sài gòn. Vịt quay phải nói là khỏi chê còn phục vụ của chủ quán thì rất là nhiệt tình 👍,4
15,"Đúng chuẩn siêu thị Vinmart, tuy gần khách sạn Mường Thanh cũng có Vinmart nhưng mình nghĩ đó chỉ là siêu thị mini thôi, không đầy đủ đồ như ở đây. Các quầy hàng được trưng bày và sắp xếp hợp lý, lối đi lại cũng rộng, thoải mái, vẫn đủ cho 2 người đi ngược chiều né nhau. 
Ở quầy rượu, trưng bày rất nhiều loại rượu vang đỏ và trắng từ nhiều quốc gia như Chile, Pháp, có cả từ Đà Lạt Việt Nam. Có cả chivas, Soju nữa. Không gian riêng biệt, nhìn sang trọng hơn những khu trưng bày khác. 
Quầy trái cây thì đa dạng nhiều loại, nhưng một số không được tươi, hồng giòn vẫn chưa chín, xoài thì để không đúng ngăn, chuối thì quá chín.
Có khu lạnh riêng cho sữa, sữa chua, cheese, phô mai...
Nói chung là trưng bài có hệt thống và hợp lý. Lần nào cũng mua nhiều đồ ở đây. 
Nhân viên bán hàng nhiệt tình, khâu hậu mãi cũng tốt. Mình có yêu cầu đóng thùng rượu để đi máy bay, cũng hỗ trợ nhiệt tình và miễn phí.",4
16,"Hôm nay đi siêu thi vinmart .đúng mùa vú sữa . Giá thì cao hơn ở ngoài . Nghī hàng siêu thị đãm
BẢo sạch sẽ hơn .ai dè về gỡ ra toàn là dòi ko là dòi .",1
17,"Thieves. I used Vinmart points to pay at groceries, earned through purchases. The my bill came to 240,758 vnd (10.63 usd). I cashier charged 241,000 vnd. Difference of 242 vnd 0.107 usd. If Vinmart steals 242vnd from 1,000 customers 242,000 per day. Pay one salary with stolen money, each day. Why not GIVE 242 VND TO EVERYBODY IF IT IS AN INSIGNIFICANT AMOUNT? MANAGER IS AWARE.",2
