 ,Review,giai_tri
0,"Bản thân mình xem ở rạp này khá là nhiều lần. Một phần vì gần nhà, phần vì có ưu đãi cho sinh viên giá tầm 45k thôi.
Rạp nằm trong Lotte Mart nên toàn khách Hàn chủ yếu. Nhân viên quầy vé, soát vé luôn lịch sự, cười tươi với khách hàng nên khiến mình có cảm tình. Combo bắp nước nhỏ 70k, lớn 95k. Ly nước 2 người uống không hết, no căng ý.
Không gian rộng rãi, bố trí poster, banner, quảng cáo phong phú. Cần bố trí thêm hàng bàn ghế chờ vì khá ít ghế. Thấy hơi bất tiện chút lúc mà đông người.
Tích hợp vừa xem phim vừa mua sắm và khu vui chơi hẳn là một địa điểm lý tưởng cho các gia đình vào cuối tuần đấy.

#THANHFASTFOOD",4
1,"Rạp chiếu oẻ đây rất ok thoải mái , không gian rộng.
Mình muốn rạp mình decore nhiều cái hơn nữa để khách hàng tới check in này nọ cho những ai thích sống ảo, 
Về giá cả ok. Ai có thẻ thành viên thì chỉ có 45k/2D . Rất rẻ",4
2,"Ngày xưa mình hay coi bên này vì không thích cụm rạp cgv chật trội mà đường ra vào ko có. Bên này ghế ngồi thoải mái hơn, giá cũng rẻ, nhân viên cũng nhiệt tình, đặt biệt coi giữa chừng mắc vệ sinh đường rộng rãi đi ra cũng dễ ít ảnh hưởng người khác nữa. khá tiện.
Mỗi tội bên này xa quá xa ah, đi lên khá cực tầm 10 km lận ý. Khu này sạch sẽ bữa nay quy hoạch lại không gian ăn uống nhiều hơn, đặc biệt là toàn khách Hàn Quốc nên cũng lịch sự hơn hẳn BigC toàn tụi trung quốc ý.",4
3,Mình không hài lòng vs nhân viên ở đây. Vì nhân viên chi đâu mà chậm chạp nói tên phim mà đơ ra như k biết chi. Thiếu tính chuyên nghiệp. Thái độ tốt nhưng quá thiếu chuyên nghiệp đi. Khôg hài lòng 1 tý nào. Cái app lotte dịch 1 đăng tên phim 1 nẻo. 😡😡😡,3
4,Chỗ này ít đông hơn các chỗ khác nên xem thoải mái hơn. Chất lượng âm thanh ở đây thuộc dạng khá.,4
5,"Mình không hay xem phim ở rạp Lotte lắm. 
Lần này vì chỉ có phim này chiếu ở lotte mới đi xem.
Nhân viên khá lịch sự, hướng dẫn tận tình. 
Có thẻ thành viên nên giá vé chỉ 45k thôi. Được tặng thêm coupon giảm giá bắp nước.
Bắp nước ở đây cũng khá rẻ, vị bắp ngọt vừa lại thơm nên mình khá ưng bụng. 
Ghế ngồi thoải mái, rạp lớn, hệ thống âm thanh tốt.
Lotte cần bố trí bảng hướng dẫn tới rạp phim. Vì tầng trên cùng chỗ với khu vui chơi còn khu xem phim lại nằm sâu ở trong nên lẩn quẩn mãi mới thấy.
Sẽ ghé lại.",4
6,"Lâu lâu mới coi phim rạp này. Hôm nay đi xem Anabella với đám đại học. Mà mình mua vé trước nên trong vé ghi xác nhận trên 18 tuổi. Khi đến quầy soát vé nhân viên bắt đem chứng minh ra xem, rõ khổ luôn, đã xác nhận ở quầy bán vé rồi mà.",4
7,Do bạn có vé miễn phí nên chỉ tốn 40k cho 2 vé. Bắp nước cũng khá rẻ so với những rạp khác. Nhân viên lo nói chuyện với nhau nên ko để ý mà soát vé nên phải đợi cô lao công nhắc mới chạy đến.,4
8,"Khá xa trung tâm thành phố, khu siêu thị dành cho người Hàn Quốc, vì đồ bán bên này đã phần nhập từ bên Hàn Quốc về, chia thành nhiều tầng, có vui chơi ăn uống và mua sắm
Tầng 5 là rạp phim & khu vực trò chơi của trẻ em
Vé phim bên này cũng ngang tầm galaxy & starlight ở Đà Nẵng, mua đổi voucher cũng nhanh gọn lẹ
Phòng chiếu vừa tầm, ghế ngồi thoải mái 
Hay có tặng kèm voucher mua bắp nuớc
Cơ sở vật chất đều tốt, lúc coi phim cũng thấy thích nữa, trừ cái khá xa thôi còn lại OK hết",4
9,"Hôm qua Wonder women công chiếu suất đặc biệt nên đu coi liền. Rạp này gần nhà mình nên đi qua khá tiện
Phim này bình thường thôi, chứ k hay lắm đâu
Rạp lotte hơi nhỏ, ghế ngồi k thoải mái.
Bực mình nhất là bạn nhân viên coi rạp, khách đang xem thì tắt điều hoà, rồi mở cửa, đèn chiếu vô khó chịu, để tiếng ồn lọt vào phòng film nữa
Haizz. Chán ds",3
