 ,Review,giai_tri,luu_tru,nha_hang,an_uong,di_chuyen,mua_sam
0,"Nhà hàng mới sạch sẽ ,phục vụ nhiệt tình ,không gian thoáng mát",0,0,4,0,0,0
1,"Nhà hàng không gian thoáng mát,sạch sẽ,hải sản tươi sống phù hợp nhu cầu du lịch cho gia đình,cơ quan và đoàn đông người.",0,0,5,0,0,0
2,"Được người bạn đi về giới thiệu gần FLC có nhiều Nhà Hàng hải sản bên làng chài và mình thử đi qua làng chài thì gặp được Nhà Hàng Bảo Nam ngay đầu đường vào Làng , điều ấn tượng nhất làng nhà hàng này có không gian sân vườn rất thoáng mát và được trang trí rất đẹp. Giá cả lại phải chăng và hải sản thì đang bơi luôn các bạn ạ .",0,0,4,0,0,0
3,"Kinh nghiệm cho bản thân và cho bạn khi đến khu vực nhơn lý . sử dụng dịch vụ kì co eo gió. Ăn uống hải sản tại nhà hàng bên nhơn lý . mình thì đi nhiều nhà hàng . thấy bên bảo Nam có nhiều thứ để bạn tìm hiểu dịch vụ ăn uống bên này . 
Rất đáng đồng tiền bát gạo .",0,0,4,0,0,0
4,"Đầu tiên nhận xét về thái độ phục vụ của chủ quán và nhân viên vô cùng tệ, khi bảo đưa menu chọn món thì lơ đi trong khi mua tour và ép buộc khách dùng món. Vì nể tài có quen biết mà dùng thử nhưng chỉ dám ghé đến 1 lần và kh bao giờ quay lại.",0,0,1,0,0,0
5,Hello Trâm anh đi ăn nhà hàng bảo nam thì thực phẩm rất tươi❤️❤️,0,0,5,0,0,0
6,Nhà hàng có tất cả các loại hải sản 😍☺️ đồ ăn chế biến rất tốt và trang trí đẹp mắt,0,0,5,0,0,0
7,Nhà hàng hôm nay có nhìu hải sản tươi ngon 😄☺️☺️Không khí dể chịu nữa <3,0,0,5,0,0,0
8,"Bọn mình ở FLC nên gọi dt sẽ có xe đưa đón khứ hồi ra vào quán luôn, nhân viên nhiệt tình, không gian quán thoải mái.",0,0,4,0,4,0
9,"khung cảnh sung quanh rất đẹp và mộng mơ, đúng chất nhà hàng tây ♥♥",0,0,4,0,0,0
10,không gian của nhà hàng khá là mát mẻ ♥ ♥ nhân viên phục vụ chu đáo :D,0,0,4,0,0,0
11,"Bếp chế biến phù hợp với gia đình,nhân viên rất nhiệt tình,nhà hàng ko gian rất thoáng mát,thích hợp gia đình có e bé.",0,0,4,0,0,0
12,"Tham gia tour Kỳ co Eo Gió ở Nhà Hàng Bảo Nam Nhơn Lý , đã cho mình 1 trải nghiệm tuyệt vời. 
Hài lòng và sẽ quay lại . 
Thanks all !",0,0,4,0,0,0
13,"Nha hàng thoáng mát cực kỳ. Mấy bạn phục vụ dễ thương làm sao. Vì Chỉ muốn chia sẽ cho các bạn nhưng viết ko hay mất thời gian đọc. 
Vậy các bạn đến đi rồi sẽ cảm nhân. bii bi thân ái",0,0,5,0,0,0
14,"Nhà hàng sân vườn , view bao đẹp , thoáng mát , rất thích hợp cho khách đoàn hoặc khách lẻ , hải sản phong phú , dễ dàng lựa chọn thích hợp cho khẩu vị từng người và vùng miền , nhân viên nhiệt tình và lễ phép ,",0,0,5,0,0,0
15,"Giá cả rất hợp lý,đầu bếp nấu ăn ngon,rất phù hợp khách ở flc và du lịch eo gió kỳ co ghế dùng bữa ở đây.",0,0,4,0,0,0
16,"Dịch vụ tốt,tổ chức tours cbuyên nghiệp,nha hàng hải sản dxa dạng,đầu bếp rất phù hợp khách miền Nam",0,0,4,0,0,0
17,"Hải sản tươi,nhân viên thân thiện,sân vườn thoan mát.rất thích hợp cho gia đình tụ họp tại đây",0,0,4,0,0,0
18,"Hôm nay gia đình tôi đến nghĩ dưỡng FLC, cạnh đó có vài nhà hàng tuy nhiên sau nhiều vòng xe tham khảo tôi đã ghé đến nhà hàng bảo nam.
Nhà hàng thoáng mát có sân vường rộng rãi 
Có hồ hải sản lớn tùy mình lựa chọn hải sản tươi sống
Mình thấy nhân viên phục vụ thiệt tình chu đáo
Đánh giá nhà hàng 4* hài lòng",0,0,4,0,0,0
19,"Đầu bếp của nhà hàng chế biến đậm chất vùng biển,nhân viên phục vụ rất nhiệt tình,nhà hàng gần ở gần flc rất thích hợp cho tiện di chuyển,nhà hàng có xe đưa đón rất thuận.",0,0,4,0,4,0
20,"Nhà hàng hải sản tươi sống , phục vụ rất nhiệt tình , chị chủ quán vui vẻ , nhà hàng thoáng mát . Địa điểm gần khu nghỉ dưỡng FLC và Eo Gió . Sẽ quay lại vào 1 ngày không xa 😘😘😘😘😘😘😘",0,0,5,0,0,0
21,"Nhà hàng hải sản tươi sống. Địa điểm gần khu nghỉ dưỡng cao cấp FLC , gần Eo Gió . Nhân viên phục vụ rất nhiệt tình , dịch vụ tour du lịch biển đảo Kỳ Co rất ok",4,0,5,0,0,0
22,"Nhà hàng rộng rãi, thoáng mát. Hải sản tươi, giá cũng hợp lý. 
Lần sau sẽ quay lại 
#haisaneogio #nhahangeogio #nhahangbaonam",0,0,4,0,0,0
23,"Mùa này là mùa du lịch của nhơn lý, ra đây phải ăn hải sản nha, bên này vừa có nhà hàng vừa có tour du lịch ra đảo nên rất tiện lun",4,0,4,0,0,0
24,"Thấy foody giới thiệu tour trọn gói 1 ngày mà có 300k quá rẻ nên mình đi thử
tour bao gồm đi cano nhanh, lặn ngắm san hô và thưởng thức hải sản nhơn lý
,anh chủ và nhân viên rất nhiệt tình. Very good !",5,0,5,0,5,0
