STT,Content
Item: 1,Item have no standard
Item: 2,Item have no standard
Item: 3,Item have no standard
Item: 4,Item have no standard
Item: 7,Item have no standard
Item: 8,Item have no standard
Item: 11,Item have no standard
Item: 12,Item have no standard
Item: 14,Item have no standard
Item: 26,Item have no standard
Item: 34,Item have no standard
Item: 78,Item have no standard
Item: 86,Item have no standard
Item: 91,Item have no standard
Item: 132,Item have no standard
Item: 171,Item have no standard
Item: 199,Item have no standard
