STT,Content
Item: 1,Item have no standard
Item: 3,Item have no standard
Item: 6,Item have no standard
Item: 7,Item have no standard
Item: 9,Item have no standard
Item: 11,Item have no standard
Item: 12,Item have no standard
Item: 15,Item have no standard
Item: 17,Item have no standard
Item: 18,Item have no standard
Item: 19,Item have no standard
Item: 21,Item have no standard
Item: 22,Item have no standard
Item: 23,Item have no standard
Item: 25,Item have no standard
Item: 29,Item have no standard
Item: 30,Item have no standard
Item: 31,Item have no standard
Item: 32,Item have no standard
Item: 39,Item have no standard
Item: 40,Item have no standard
Item: 44,Item have no standard
Item: 45,Item have no standard
Item: 49,Item have no standard
Item: 50,Item have no standard
Item: 55,Item have no standard
Item: 61,Item have no standard
Item: 63,Item have no standard
Item: 67,Item have no standard
Item: 76,Item have no standard
Item: 77,Item have no standard
Item: 86,Item have no standard
Item: 89,Item have no standard
Item: 92,Item have no standard
Item: 96,Item have no standard
Item: 100,Item have no standard
Item: 101,Item have no standard
Item: 104,Item have no standard
Item: 107,Item have no standard
Item: 110,Item have no standard
Item: 113,Item have no standard
Item: 114,Item have no standard
Item: 118,Item have no standard
Item: 119,Item have no standard
Item: 120,Item have no standard
Item: 126,Item have no standard
Item: 132,Item have no standard
Item: 133,Item have no standard
Item: 141,Item have no standard
Item: 156,Item have no standard
Item: 162,Item have no standard
Item: 167,Item have no standard
Item: 174,Item have no standard
Item: 178,Item have no standard
Item: 181,Item have no standard
Item: 188,Item have no standard
Item: 191,Item have no standard
Item: 193,Item have no standard
