 ,Review,giai_tri
0,"Mấy năm trước tui về nước đi hát với mấy đứa bạn. Vì mượn xe máy dỏm của khách sạn để đi nên bảo vệ đuổi thẳng, nói không có ai tên Trâm đặc phòng, không nhận gởi xe. Bắt tôi quay ra đường đứng đợi. Dù bạn tên Trâm đã book phòng từ sáng. Đến khi mấy đứa bạn đến bằng xe hơi thì mới nói giúp mới được vào. Từ một người yêu thích karaoke nhưng tôi trở nên rất ghét đến quán karaoke ở*** Dịch vụ chảnh chọe và tồi tệ. Nếu bạn là Việt kiều, mà lỡ đi xe dòm thì tốt nhất đừng đến, chỉ rước bực mình.",2
1,"Trước đó nhỏ bạn có nói phòng có chuột rồi nhưng mình không tin, cả đám nói chắc do đèn chiếu chiếu nên nó nhìn nhầm. Nhóm 4 người bọn mình định hát thêm 30p nữa cho đủ 3 tiếng. Ngồi 1 hồi cả 3 đứa con gái tụi mình đều thấy chuột. Mình ra kêu tính tiền liền luôn. Sợ hãi thiệt sự 😭😭",3
2,"Quán nằm gần vòng xoay Nguyễn Thị Minh Khai - Phạm Viết Chánh, nhìn bên ngoài có cách trang trí hiện đại, phòng hát trang trí theo hơi hướng vũ trường, đèn màu, đèn xoay tạo cảm giác náo nhiệt, âm thanh khá hay, khi hát có thể hoà theo nhạc, không như những chỗ khác nhạc đi đằng nhạc, lời đi đằng lời. 

Nhân viên phục vụ y như rô bốt, vào phòng là cầm bia bật nắp theo kiểu công nghiệp, xé khăn cũng vậy, mình ra hiệu là chưa cần xài thì em ấy quăng cho 1 cái lườm rồi đi, đến khi ra toilet rửa tay xong lấy khăn lau chưa biết để đâu thì có 1 em khác lượn ngang giật cái khăn quăng vào sọt, không một lời, nói chung mình có cảm tưởng nhân viên ở đây được đào tạo theo kiểu ""không cảm xúc"" của Hồ Quang Hiếu, ko có ý định quay lại khi sát bên có Kingdom ok hơn.",4
3,"Mình đi theo team công ty nên lúc thanh toán có nói xuất hoá đơn đỏ. Tổng bill là 4.2 triệu, một bạn phục vụ đề nghị mình cho viết hoá đơn 4.5 triệu, rồi bạn cà thẻ tín dụng của mình theo đúng bill, phần 300k dư ra mình cho các bạn tiền mặt coi như tip. Mình không chịu vì đây là budget của công ty, có bao nhiêu ghi bill bấy nhiêu. Cuối cùng team mình cũng có để lại một ít tiền tip cho các bạn, nhưng mình không hề thích cái thái độ xin xỏ như vậy. 

Phong cách phục vụ của các bạn bình thường, không có nhiệt tình mấy. Lúc các bạn thấy team mình order nhiều đồ ăn quá mới nói là sao chị ko nói là sẽ vừa order bia vừa đồ ăn nhiều thì tụi em giới thiệu combo rẻ hơn, mình mới hỏi lại là sao các bạn ko nói ngay từ đầu đi...pó tay...

Túm lại là mình đi một lần cho biết, chắc ko quay lại!",3
4,"Không gian có đầu tư, rất đẹp và sang trọng
Đồ ăn ngon, hợp khẩu vị với mình
Vị trí dễ kiếm, mặt tiền to đùng, gần ngã sáu cộng hoà
Nhân viên phục vụ nhiệt tình, nói chuyện dễ thương lắm
Tuy nhiên có cái dàn âm thanh không được hay lắm và giá thì khá chát, không phù hợp với túi tiền sv",4
5,"Mình đi với mấy anh chị người Nhật,vì muốn biết chắc quán có các ca khúc tiếng nhật mới không,mình đã gọi trước hỏi cho chắc ăn vì nghe quảng cáo là Avatar cập nhật những bài mới nhất . Mình hỏi đi hỏi lại và nhân viên quả quyết rằng có các bài tiếng Nhật ""MỚI"" .Cái hồi đến nơi toàn bài cũ mèm k hát được gì ,mình quê với anh chị Nhật quá luôn:(( Đã thế âm thanh cũng chẳng hay,ko vang ko ấm gì cả,remote trục trặc,bấm bài được bài ko.Giá cũng k hề rẻ
Được cái không gian có đầu tư,bàn là trò chơi bóng đá nhìn ngồ ngộ.Với ly nước trái cây của mình trang trí rất đẹp ,các lát dâu xếp thành bông hoa.
Nhân viên ngoại hình đẹp nhưng phục vụ bình thường.",2
6,"Wow, quán karaoke đỉnh quá,nhìn hình mà ham luôn, yêu thích ca hát nữa
Chắc bữa nào phải tranh thủ qua mới được!",4
7,Quán quá đẹp luôn nhìn ở ngoài vào thôi là thấy suất sắc rồi. Không gian quá rộng rãi nhân viên quá trời toàn là hót boy đồ không à. Ấn tượng nhất là vị trí quá đẹp luôn nằm ở vị trí tốt quá tốt luôn. Mỗi ngày đều đi qua nơi này thấy ghiền luôn. Hi hi hi. Tới noel thấy trang trí rất đẹp có rất không khí của giáng sinh lắm á. Đẹp quá luôn đó,4
8,"Karaoke sang với nội thất lung linh và đồ ăn ngon
Đến đây ăn tối rồi hát luôn cho tiện nè
Giá phòng từ 250-400 1 giờ
Có sinh nhật bao nhiêu tuổi giảm bấy nhiêu tiền giờ
Và trước 6h tối giảm 50% tiền giờ nè
Quán mở khuya đến 3h sáng luôn á",4
9,"Hôm bữa ghé đây với nhóm bạn. Lâu rùi không đến hình như quán mới sửa sang lại,đẹp lung linh. Giá các phòng khác nhau. Không gian đẹp,rất đầu tư luôn,sang trọng nhưng ấm cúng. Âm thanh hay. Nhân viên thân thiện. Do ăn tối rồi nên chỉ gọi 2 món ăn chơi và 1 phần trái cây. Mực tươi nướng,nước sốt ngon. Giò heo chiên giòn vị đậm đà. Phần trái cây khá hoành tráng. Giá hơi cao nhưng tương xứng chất lượng.",4
