 ,Review,mua_sam
0,"Giới thiệu vs mn 1 phiên chợ cuối tuần mà mình đi suốt từ thời sinh viên tới giờ :))) Lí do mình mê đi Hello Weekend vì ở đây là khu phức hợp vừa bán quần áo lại có khu ăn uống theo mình thấy rộn ràng nhất trong các phiên chợ cuối tuần ở Sài Gòn. Kiểu quần áo đẹp đa dạng, brand xịn hơn và đồ ăn ngon hơn á :)) Do mình có tâm hồn đam mê ăn uống nên tập trung vô khu ẩm thực hoi nhen, đồ ăn siêu đa dạng, từ các món Việt đến Thái Hàn Nhật đều có đủ nhen :)) Nem nướng, mopping Thái, tokbokki chả cá hay takoyaki, sushi đồng giá cả 1 trời đồ ăn, kiểu nhìn vô thấy gì cũng muốn ăn luôn á, đồ ăn chất đầy siêu hấp dẫn, đa số tầm 20-35k/ món, nước cũng đa dạng i như đồ ăn :)) Lựa đồ mệt mỏi nóng nực ra tu liền ly nước siêu to siêu mát nhen. 
Sau khi mua mua đồ mình lượn ra đây mua đủ thứ để chất đầy cái bụng đói, sương sương bay mất 200k 😢 Đồ ăn cũng ổn, có dimsum ko hợp vs mình còn lại nhìn chung thấy okie lắm nè. À nghe nói còn có dịch vụ ship đồ ăn tận nhà nếu bạn nào ngại ra đường nữa nè, ai cần thêm thông tin thì liên hệ fanpage nha
————
📍Hello Weekend Market, Sân Vận Động Hoa Lư, Q1 (thay đổi theo tuần nên lên IG để cập nhật địa điểm nha) tuần này ở SVĐ Hoa Lư nè, 2 Đinh Tiên Hoàng Q1
⏰10- 22h",4
1,"Ú sẽ review tiếp các gian hàng ẩm thực còn lại ở hội chợ Hello Weekend. 

🍔🍞 Xe bánh mì que giá 8k với tông vàng dễ thương. 
🍢🍡 Gian hàng thịt xiên nướng phô mai 20k, có món bún Thái tôm nữa, ăn cũng khá ngon. 
🍱 Gian hàng các món xiên que Hàn_Quốc và cá viên cà ri cũng rất hấp dẫn nhen. 
🍀 Gian hàng các món Thái như gỏi đu đủ, bún Thái cũng ok. Nhưng vị gỏi không đậm đà lắm.

Ngoài ra các món ăn vặt như bánh tráng nướng mắm ruốc, sushi , kimbap viên... cũng trưng bày khá bắt mắt.",5
2,"🎪Hội chợ Hello Weekend luôn thu hút nhiều bạn trẻ đến mua sắm và tham gia. 
🍹Phần 2 : Ú sẽ review về các gian hàng đồ uống ở hội chợ tuần vừa qua nha. 

🍊 Gian hàng nước uống đồng giá 25k cho các món nước như: Trà đào cam sả, trà vải, các món soda, sữa tươi đường đen, dừa tắc...
🍎 Gian hàng nước ép cam và lựu trưng bày đẹp mắt. Ú cũng không quên tậu về một chai lựu uống giải khát hihi. 
🍒 Gian hàng trà trái cây các loại như đào, tắc, vải, trà sữa, sương sa hột é... Cũng thu hút khá đông các bạn trẻ đến mua. Vì có ly khổng lồ mà giá cũng hợp lý. 

Thế nên, HLW mở ra là luôn nhận được nhiều ủng hộ, ở đây vừa được sắm đồ đẹp. Ăn ngon thì còn gì bằng.
Chỉ có điều phải bon chen khá đông và không gian rất nóng nha hihi ♥",5
3,"Hội chợ Hello Weekend thường hay tổ chức ở sân vận động Hoa_Lư.
Nơi đây không chỉ quy tụ các gian hàng quần áo mà còn tập trung các khu ẩm thực.
🌟 Phần 1: Ú sẽ review sơ về các gian hàng đồ ăn fastfood nhen
 - Không gian ở sân vận động Hoa_Lư rất lớn. Với sức chứa khủng, nhưng dân tình đổ xô đi hội chợ là cũng thấy ngộp lắm luôn.
- Gian hàng Khoai tây lốc xoáy phô mai 25k, xúc xích 10k, heo nướng rau củ, mề gà 25k, nhìn thôi cũng thấy hấp dẫn rồi hen cả nhà.
- Gian hàng thịt xiên nướng phô mai 25k, các loại viên chiên, nem nướng, chả cá Hàn Quốc. Món thịt xiên nướng vừa ăn mà ngon lắm quý dị. 
- Gian hàng các viên kimbap cũng đầy màu sắc với nhiều loại sốt ăn kèm.",5
4,"Tên gọi là Hello weekend market nhưng không tổ chức cố định ở Sân vân động Hoa Lư nha, tùy vào thời điểm mà sẽ thay đổi địa điểm, các bạn nên vào fanpage để xem chi tiết trước khi đi nha, hình mình chụp là lúc tổ chức ở CV 23/9
Chủ yếu là bán quần áo, đa phần là do các shop nhỏ thiêt kế bán, cũng có hàng Thái hàng Tàu hàng Việt.. tùy ý lựa chọn. Giá thì bình thường, có thể trả giá chút ít, chứ không rẻ bèo đâu nha hix được cái là cách bán hàng văn minh hơn là mua đồ chợ thôi
Mình chỉ thích cái phần ẩm thực, có rất nhiều tiểu thương là người người nước ngoài bán đồ ăn, có món Ấn, kem Thổ Nhỉ Kỳ,.. thành ra rất nhiều màu sắc. Giá món ăn cũng không mắc lắm đâu, nên mùi vị cũng không đặc biệt, nhưng cái không khí đông vui làm mình rất thích lượn đi lượn lại ^^",4
5,"Cuối tuần rãnh rỗi đi hội chợ này cũng thấy vui lắm. Mình thì thích đi buổi sáng hay trưa trưa một xíu, vì giờ đó lượng khách ít nên đi mua đồ dễ lựa hơn, còn đi tầm chiều chiều hay tối, chen vô còn khó, mà lựa đồ để mua lại càng khó hơn. Nhận xét về giá shopping ở đây thì giá cũng không phải là rẻ, bản chất cũng chỉ là những shop ở Sài Gòn đổ ra đây bán thôi, có vài chỗ thì treo giá sẵn, còn hầu như là toàn hỏi để biết giá không à, giá thì nói là ""không bớt"" nhưng mình cũng phải biết trả để không bị hớ. Ví dụ như có lần mình mua cái Quần Lửng Thun ở đây, ban đầu bán 120k, trả tới trả lui không chịu bán, thế là mình mua, 1 tuần sau quay lại còn 80k :(((( Đúng tức. 

Còn dãy đồ ăn ở đây thì nhiều món lắm, trưng bày bắt mắt nên nhìn gì cũng muốn ăn hết trơn. Giá nhìn chung là hơi cao so với mình. Hộp bún gạo xào có vài lát đậu hủ, chả thôi đã là 20k rồi đó. Soda uống ok, 20k ly khổng lồ cỡ 1 lít á. Bán đồ ăn ở đây ai cũng dễ thương hết á, nhiệt tình vui vẻ.",4
6,"Hello Weekend Market ở SVĐ Hoa Lư. Chủ yếu của Hello Weekend Market là bán quần áo. Có rất nhiều tiệm vào bán, quần áo cũng khá đa dạng, giá cả thì không phải chỗ nào cũng rẻ nhưng nhìn chung cũng discount so với giá ngày thường. Mình đi vào tối chủ nhật nên rất là đông, đường đi lại nhỏ nên có hơi chen chúc mới đi được. Ngoài ra bên hông còn có 1 dãy các hàng bán đồ ăn nhưng hình như không phải của Hello Weekend Market. Đồ ăn thì có sushi, các loại đồ chiên, món Thái, món Hàn (có cơm trộn, mì jajang mà phần nhỏ nhỏ 30k), có món Hồng Kong (há cảo, xíu mại, cá viên cà ri) nữa :D Đồ uống thì có soda, trà đào, trà vải, trà sữa v.v.. giá cả đồ ăn đồ uống không quá đắt mà vẫn có bữa no nê. Bị cái là đông quá mà lại ít bàn ngồi nên phải ra phần sân bóng đá ngồi ăn.",4
7,"1 trong những đặc sản không thể bỏ qua khi vào sg nữa nè-hội chợ cuối tuần. Ngoài Hà Nội đi nhiều rồi mà vào trong này vẫn bị sốc văn hoá ))) thường mình đi họ tổ chức ở nhà văn hoá thôi còn đây là gần nguyên cái sân vận động luôn á. Tìm địa điểm không mấy khó, svđ hoa lư hỏi cũng nhiều người chỉ cho đó. 
Quy mô phải nói là lớn, các gian hàng nhiều ơi nhiều xong lối đi 2 chiều hẹp tí teo cứ lách được người nọ xong người kia còn đứng ngắm đồ nên tắc nghẽn là chuyện cực bình thường. Chỉ có cái con đang mặc áo bông len cổ lọ vào đây cái ba lỗ quần sọoc mà mồ hôi nhễ nhại đến khổ. 
Đồ đa dạng lắm luôn kể cả hoodie, khoác bò, khoác gió đủ luôn chả thiếu :3 Lại còn giá cứ hét sốc tận óc, cực nhiều món hời ưu đãi lớn nữa chứ. Mới làm 1 lượt mà tay mình nặng trĩu đồ, nực quá ra quạt cây ngồi lấy hơi mà chả có chỗ cơ, khá đáng sợ.
Sau 1 chiều lang thang phố phường mà khuân nặng vali các ông ơi, saigon cứ làm hư mình không à -_-",4
8,"Hội chợ đông như kiến luôn nha, đi đâu nhớ cẩn thận đồ đạc, giữ xe chỗ bên cổng sân vân động, 5k
Hội chợ nên cái gì cũng có, mà theo mình giá cả không hẳn là rê hơn thiệt nha, bởi vậy nén cứ thẳng tay trá giá
Đồ ăn: đúng bao nhiều luôn. Mình ăn bánh trứng nướng sò điệp, 30k 1 hộp đc 5 6 cái gì á, nước mắm chan sẵn vô cho mình luôn. Nước mắm pha ngon, sánh, ớt đỏ nhiều mà lại không cay. Ăn kèm rau răm. Không ưng ở chỗ là bânh trứng mần sẵn ra bỏ trong hộp rồi đem chưng ra cho khácn nhìn, ai mua thì gói cho
Trà sữa khổng lồ 20k: không lồ chớ mà ăn gian. Trà đổ rất là lưng ly, đá thì bao nhiều, có 1 ít thạch. Cơ mà trà ko bị ngọt quá đà
Xúc xích: giống xúc siêu thị",3
9,"Đi mua đồ ở Hello mình thích nhất là ăn sushi ở đây, giá cả rất bình dân nhưng chất lượng rất xứng đáng, kèm thêm sốt chấm rất ngon. 
Sushi đồng giá 5k 
Thịt heo chiên giòn 25k 
Trà đào 25k ly 1 lít 
Còn sương sâm hột é 20k 
Có rất nhiều gian đa dạng món giá tầm 15k-35k.
Không gian hơi chật 1 tí vì ăn uống tầm 10 bàn đổ lại thôi.",4
